# Per-site service lines for HRSA health center sites.
#
# WHY THIS FILE EXISTS: HRSA publishes no per-site service line in any
# machine-readable feed. Checked and ruled out:
#   - Health_Center_Service_Delivery_and_LookAlike_Sites.csv — 56 columns, none
#     describe services. "Location Setting Description" is the building type
#     ("All Other Clinic Types"), not what is offered inside it.
#   - The per-site NPI in that same CSV, looked up in NPPES — every Greenville
#     County site returns the generic taxonomy "Clinic/Center, Federally
#     Qualified Health Center (FQHC)". No service line.
#   - The UDS Mapper GIS layer (gisportal.hrsa.gov .../HealthCenterLocations) —
#     no service field.
#
# So a site's services cannot be derived; they have to be recorded. Sites absent
# from this file default to primary care, which is defensible — providing primary
# care is a condition of Section 330 scope — but a SPECIALTY site (dental-only,
# behavioral-only) breaks that default, and counting one as a primary care
# destination is a real error in the travel-time numbers.
#
# open_hours: free text, exactly as the site says it — "Mo-Fr 8-5", "M/W/F
#   mornings only", "8-5 but last check-in 4:30". Do NOT normalise it into a
#   schema; the shape of the real answer is not known yet and inventing one
#   loses information. A 45-minute modelled trip to a place that closed at 4:30
#   is not a 45-minute trip, which is why three separate reviewers asked for it.
#   Left blank = not asked. Blank is honest; a guess is not.
#
# service_lines: pipe-separated. Recognized: primary_care, dental, behavioral,
#   vision, pharmacy. A site with no primary_care is excluded from the FQHC
#   (primary care) category and routed to its own category instead.
#
# verified_on / verification_method: how the service line was established.
#   "site name" is weak evidence and is marked as such — a name is a strong hint,
#   not a confirmation. Replace these with phone confirmations as they happen.
#
# ROWS WITH service_lines BLANK ARE IGNORED by the loader — those sites keep the
# primary-care default. They are listed anyway so this file doubles as the call
# worksheet: every active site in the county is here with its BPHC number already
# filled in, so recording an answer is filling one cell rather than looking up an
# identifier and risking a typo that silently applies the override to nothing.
#
# Asked on the Wednesday New Horizon call and the Thu–Fri Phoenix Center calls:
# which services each site actually provides, and where the mobile units park.
#
bphc_number,site_name,service_lines,open_hours,verified_on,verification_method
BPS-H80-003257,NEW HORIZON FAMILY DENTAL CARE,dental,,2026-08-12,site name — UNCONFIRMED; confirm dental-only with New Horizon
BPS-H80-017248,Mobile Dental,dental,,2026-08-12,site name — UNCONFIRMED; confirm with New Horizon
BPS-H80-014725,New Horizon Family Health Services Main Site,,,,
BPS-H80-008140,TRAVELERS REST,,,,
BPS-H80-002239,GREER,,,,
BPS-H80-040815,Berea,,,,
BPS-H80-031524,ReGenesis Health Care-Phoenix Center,,,,
BPS-LAL-037969,Unity Health On Main,,,,
BPS-H80-030021,Mobile Medical Team,,,,
BPS-H80-003838,CARE Team Express Mobile Medical Unit,,,,
BPS-H80-036948,CARE Team Express Mobile Medical Unit 2,,,,
